"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","11","","api_test","TestCase","","","test1[tc10]",""
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","10","","api_test","TestCase","","","test1[tc9]",""
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","71","","api_test","TestCase","","","test1[tc6]",""
"passed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","26","","api_test","TestCase","","","test1[tc50]",""
"passed","Thu Feb 10 00:04:03 CST 2022","Thu Feb 10 00:04:03 CST 2022","25","","api_test","TestCase","","","test1[tc2]",""
"passed","Thu Feb 10 00:04:05 CST 2022","Thu Feb 10 00:04:05 CST 2022","44","","api_test","TestCase","","","test1[tc26]",""
"failed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","31","","api_test","TestCase","","","test1[tc52]",""
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","70","","api_test","TestCase","","","test1[tc15]",""
"passed","Thu Feb 10 00:04:04 CST 2022","Thu Feb 10 00:04:04 CST 2022","11","","api_test","TestCase","","","test1[tc19]",""
"passed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","10","","api_test","TestCase","","","test1[tc51]",""
"passed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","75","","api_test","TestCase","","","test1[tc45]",""
"passed","Thu Feb 10 00:04:05 CST 2022","Thu Feb 10 00:04:05 CST 2022","70","","api_test","TestCase","","","test1[tc25]",""
"passed","Thu Feb 10 00:04:06 CST 2022","Thu Feb 10 00:04:06 CST 2022","21","","api_test","TestCase","","","test1[tc49]",""
